element,name,pos,round,total_points,roll_clean_sheets_p90,roll_yellow_cards_p90,roll_bps_p90,roll_creativity_p90,roll_threat_p90,roll_defensive_contribution_p90,roll_expected_goals_p90,roll_expected_assists_p90,roll_expected_goals_conceded_p90,roll_goal_overperf_p90,roll_assist_overperf_p90,roll_goal_conceded_overperf_p90,roll_minutes,roll_value,roll_transfers_balance,roll_selected,was_home,opponent_team
97,Evanilson,FWD,26,1,0.18,0.0,18.04,17.63,37.91,4.79,0.51,0.03,0.89,0.04,-0.03,0.58,81.5,70.33,37188.83,287767.67,False,9
97,Evanilson,FWD,27,2,0.19,0.0,15.22,16.48,39.39,4.38,0.41,0.04,1.1,-0.02,-0.04,0.04,78.83,70.33,30610.33,318680.33,False,19
97,Evanilson,FWD,28,6,0.37,0.0,10.67,13.84,33.68,4.05,0.37,0.03,1.58,-0.19,-0.03,-0.66,81.5,70.17,22714.83,342326.5,True,17
97,Evanilson,FWD,29,2,0.41,0.0,16.44,15.04,38.01,3.49,0.37,0.03,1.65,0.04,-0.03,-0.82,73.0,70.0,18949.83,362330.17,True,5
97,Evanilson,FWD,30,2,0.63,0.0,12.44,16.5,28.88,3.58,0.18,0.07,1.55,0.03,-0.07,-1.13,71.17,69.83,11508.17,374605.33,False,3
97,Evanilson,FWD,31,5,0.62,0.0,11.85,15.03,35.96,3.74,0.33,0.07,1.58,-0.12,-0.07,-1.17,72.17,69.33,-31132.5,341117.0,True,14
97,Evanilson,FWD,32,5,0.62,0.0,14.1,8.13,24.68,4.77,0.22,0.05,1.85,-0.01,0.16,-1.23,72.33,68.83,-25161.33,316304.5,False,1
97,Evanilson,FWD,33,5,0.58,0.0,16.03,10.0,22.79,5.21,0.19,0.05,1.77,0.0,0.34,-1.19,77.67,68.5,-18507.33,299590.0,False,15
97,Evanilson,FWD,33,1,0.38,0.0,17.05,11.8,25.2,5.87,0.4,0.05,1.35,-0.21,0.52,-0.59,79.17,68.17,6211.0,315371.17,True,11
97,Evanilson,FWD,35,5,0.34,0.17,10.78,14.92,21.22,5.65,0.35,0.06,1.28,-0.35,0.46,-0.25,87.67,67.83,27306.17,333387.17,True,8
97,Evanilson,FWD,36,1,0.34,0.17,11.98,12.13,22.93,5.82,0.39,0.05,1.27,-0.39,0.63,-0.25,87.67,67.5,33730.0,340868.0,False,10
97,Evanilson,FWD,37,2,0.19,0.19,12.99,12.84,18.64,5.46,0.31,0.06,1.25,-0.31,0.7,-0.12,79.67,67.33,31869.17,345764.83,True,13
97,Evanilson,FWD,38,2,0.38,0.19,12.86,14.69,19.47,5.48,0.43,0.06,1.14,-0.43,0.5,-0.38,79.33,67.17,29561.0,349381.5,False,16
100,Kroupi.Jr,FWD,13,1,0.28,0.28,38.89,14.97,50.56,6.94,0.73,0.04,1.69,0.38,-0.04,0.81,54.0,45.5,62432.67,402785.83,False,17
100,Kroupi.Jr,FWD,14,2,0.28,0.0,31.57,15.31,40.43,6.65,0.67,0.04,1.69,0.16,-0.04,0.8,54.17,45.67,57110.0,464921.33,True,9
100,Kroupi.Jr,FWD,16,5,0.58,0.0,17.65,16.06,28.36,5.79,0.36,0.04,1.28,-0.07,-0.04,0.74,51.83,45.83,50722.83,519097.17,False,14
100,Kroupi.Jr,FWD,24,7,0.31,0.63,24.46,12.79,20.38,6.9,0.24,0.02,1.12,0.39,-0.02,0.45,47.83,46.0,21977.83,531584.0,False,20
100,Kroupi.Jr,FWD,25,2,0.55,0.55,29.91,13.01,19.48,6.31,0.22,0.07,1.04,0.6,-0.07,0.06,54.67,46.0,30889.5,559711.0,True,2
100,Kroupi.Jr,FWD,26,1,0.52,0.52,28.27,15.2,23.34,6.48,0.38,0.06,0.69,0.4,-0.06,0.09,57.83,46.17,52670.17,612125.17,False,9
100,Kroupi.Jr,FWD,27,2,0.5,0.25,21.57,17.93,20.58,6.45,0.35,0.1,0.88,0.14,-0.1,-0.14,60.5,46.33,69876.83,684409.17,False,19
100,Kroupi.Jr,FWD,28,2,0.7,0.23,15.77,21.29,14.15,6.49,0.19,0.1,1.5,0.05,-0.1,-1.04,64.67,46.5,73662.67,759569.67,True,17
100,Kroupi.Jr,FWD,29,1,0.45,0.23,13.38,23.46,14.74,5.44,0.23,0.1,1.65,-0.0,-0.1,-0.97,66.17,46.67,64737.33,825352.83,True,5
100,Kroupi.Jr,FWD,30,2,0.52,0.0,15.3,26.66,18.16,7.26,0.3,0.12,1.75,-0.04,-0.12,-1.23,57.83,46.83,49980.33,875930.5,False,3
100,Kroupi.Jr,FWD,31,5,0.5,0.0,9.78,33.32,17.8,7.77,0.33,0.14,1.89,-0.33,-0.14,-1.39,59.83,47.0,19937.33,896456.5,True,14
100,Kroupi.Jr,FWD,32,6,0.58,0.0,13.85,35.48,20.48,8.37,0.43,0.16,2.06,-0.14,-0.16,-1.77,52.0,47.0,-5743.67,874491.5,False,1
100,Kroupi.Jr,FWD,33,2,0.49,0.25,17.31,27.02,28.93,6.92,0.53,0.1,2.03,-0.03,-0.1,-1.54,60.67,47.0,-36351.0,838571.83,False,15
100,Kroupi.Jr,FWD,33,8,0.53,0.26,17.42,20.32,30.35,7.39,0.6,0.1,1.45,-0.07,-0.1,-0.93,56.83,46.83,-24001.83,816895.17,True,11
100,Kroupi.Jr,FWD,35,6,0.54,0.54,25.95,20.78,34.86,7.3,0.6,0.16,1.25,0.21,-0.16,-0.71,55.5,46.67,-6742.67,795054.67,True,8
100,Kroupi.Jr,FWD,36,2,0.7,0.47,26.81,18.77,37.54,5.83,0.72,0.13,1.08,0.21,-0.13,-0.62,64.33,46.5,3705.33,770363.0,False,10
100,Kroupi.Jr,FWD,37,8,0.7,0.47,23.14,7.9,32.96,4.44,0.67,0.07,1.0,0.26,-0.07,-0.53,64.17,46.33,27546.33,769589.67,True,13
100,Kroupi.Jr,FWD,38,2,0.81,0.41,23.36,7.66,29.26,3.86,0.46,0.09,1.06,0.36,-0.09,-0.66,73.83,46.17,31930.17,788816.33,False,16
135,Wissa,FWD,24,1,0.32,0.0,15.27,8.97,37.69,3.9,0.51,0.02,0.98,-0.18,-0.02,-0.01,46.17,73.0,8114.0,106251.83,False,12
135,Wissa,FWD,25,2,0.33,0.0,15.55,5.82,36.4,4.3,0.47,0.02,0.9,-0.14,-0.02,0.43,45.33,73.0,6343.17,112974.83,True,5
136,Thiago,FWD,4,1,0.33,0.33,16.67,14.8,19.33,5.0,0.42,0.04,1.53,0.25,-0.04,0.14,90.0,60.0,12519.33,117960.33,True,7
136,Thiago,FWD,5,2,0.26,0.53,15.04,15.55,15.31,5.01,0.33,0.04,1.41,0.2,-0.04,0.17,85.25,60.0,16433.75,135525.0,False,10
136,Thiago,FWD,6,13,0.22,0.44,13.78,13.44,16.67,5.11,0.3,0.04,1.42,0.14,-0.04,0.58,81.0,60.0,16958.2,151152.4,True,14
136,Thiago,FWD,7,2,0.18,0.36,22.59,11.73,21.13,5.1,0.37,0.03,1.52,0.36,-0.03,0.3,82.33,60.0,11287.83,158895.0,True,13
136,Thiago,FWD,8,8,0.19,0.38,21.78,10.7,21.59,5.54,0.35,0.03,1.39,0.23,-0.03,0.13,78.5,60.0,30040.5,199511.67,False,19
136,Thiago,FWD,9,5,0.19,0.38,27.32,9.29,35.92,4.97,0.46,0.03,1.23,0.3,-0.03,0.3,78.5,60.17,51524.0,260479.67,True,12
136,Thiago,FWD,10,2,0.19,0.38,24.84,6.42,46.62,5.35,0.65,0.01,1.38,0.11,-0.01,0.15,78.5,60.33,65183.83,332972.33,False,8
