team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Hull City,['Man United-H'],['Coventry City-A'],['Aston Villa-H'],['Chelsea-A'],['Newcastle-A'],['Everton-H'],['Fulham-A'],['Brentford-H'],['Ipswich Town-H'],['Arsenal-A'],['Brighton-H'],['Crystal Palace-A'],"[""Nott'm Forest-H""]",['Bournemouth-A'],['Tottenham-H'],['Man City-A'],['Liverpool-H'],['Leeds-H'],['Sunderland-A'],"[""Nott'm Forest-A""]",['Arsenal-H'],['Ipswich Town-A'],['Crystal Palace-H'],['Brighton-A'],['Sunderland-H'],['Liverpool-A'],['Man City-H'],['Leeds-A'],['Aston Villa-A'],['Chelsea-H'],['Man United-A'],['Coventry City-H'],['Tottenham-A'],['Bournemouth-H'],['Everton-A'],['Fulham-H'],['Brentford-A'],['Newcastle-H']
Ipswich Town,['Sunderland-H'],['Man United-A'],['Liverpool-H'],['Crystal Palace-A'],['Everton-A'],['Fulham-H'],['Man City-A'],"[""Nott'm Forest-H""]",['Hull City-A'],['Bournemouth-H'],['Tottenham-A'],['Aston Villa-H'],['Coventry City-A'],['Leeds-A'],['Newcastle-H'],['Brighton-A'],['Brentford-H'],['Chelsea-H'],['Arsenal-A'],['Coventry City-H'],['Bournemouth-A'],['Hull City-H'],['Aston Villa-A'],['Tottenham-H'],['Arsenal-H'],['Chelsea-A'],['Brighton-H'],['Brentford-A'],['Liverpool-A'],['Crystal Palace-H'],['Sunderland-A'],['Man United-H'],['Newcastle-A'],['Leeds-H'],['Fulham-A'],['Man City-H'],"[""Nott'm Forest-A""]",['Everton-H']
Leeds,"[""Nott'm Forest-A""]",['Brentford-H'],['Brighton-A'],['Newcastle-H'],['Crystal Palace-H'],['Arsenal-A'],['Man United-H'],['Sunderland-A'],['Bournemouth-A'],['Tottenham-H'],['Chelsea-A'],['Coventry City-H'],['Man City-A'],['Ipswich Town-H'],['Liverpool-A'],['Fulham-H'],['Aston Villa-A'],['Hull City-A'],['Everton-H'],['Man City-H'],['Tottenham-A'],['Chelsea-H'],['Coventry City-A'],['Bournemouth-H'],['Everton-A'],['Aston Villa-H'],['Fulham-A'],['Hull City-H'],['Brighton-H'],['Newcastle-A'],"[""Nott'm Forest-H""]",['Brentford-A'],['Liverpool-H'],['Ipswich Town-A'],['Arsenal-H'],['Man United-A'],['Sunderland-H'],['Crystal Palace-A']
Liverpool,['Newcastle-A'],"[""Nott'm Forest-H""]",['Ipswich Town-A'],['Fulham-H'],['Bournemouth-A'],['Man City-H'],['Brentford-A'],['Brighton-H'],['Arsenal-H'],['Crystal Palace-A'],['Man United-H'],['Everton-A'],['Sunderland-H'],['Chelsea-A'],['Leeds-H'],['Tottenham-H'],['Hull City-A'],['Aston Villa-A'],['Coventry City-H'],['Sunderland-A'],['Crystal Palace-H'],['Man United-A'],['Everton-H'],['Arsenal-A'],['Coventry City-A'],['Hull City-H'],['Tottenham-A'],['Aston Villa-H'],['Ipswich Town-H'],['Fulham-A'],['Newcastle-H'],"[""Nott'm Forest-A""]",['Leeds-A'],['Chelsea-H'],['Man City-A'],['Brentford-H'],['Brighton-A'],['Bournemouth-H']
Man City,['Bournemouth-H'],['Crystal Palace-A'],['Coventry City-H'],['Man United-A'],['Sunderland-H'],['Liverpool-A'],['Ipswich Town-H'],['Aston Villa-A'],['Brighton-H'],"[""Nott'm Forest-A""]",['Fulham-H'],['Arsenal-A'],['Leeds-H'],['Brentford-A'],['Chelsea-H'],['Hull City-H'],['Newcastle-A'],['Everton-A'],['Tottenham-H'],['Leeds-A'],"[""Nott'm Forest-H""]",['Brighton-A'],['Arsenal-H'],['Fulham-A'],['Tottenham-A'],['Newcastle-H'],['Hull City-A'],['Everton-H'],['Coventry City-A'],['Man United-H'],['Bournemouth-A'],['Crystal Palace-H'],['Chelsea-A'],['Brentford-H'],['Liverpool-H'],['Ipswich Town-A'],['Aston Villa-H'],['Sunderland-A']
Man United,['Hull City-A'],['Ipswich Town-H'],['Everton-A'],['Man City-H'],['Fulham-A'],['Tottenham-H'],['Leeds-A'],['Bournemouth-H'],['Chelsea-A'],['Aston Villa-H'],['Liverpool-A'],['Brentford-H'],['Newcastle-A'],['Coventry City-H'],['Crystal Palace-A'],['Arsenal-A'],"[""Nott'm Forest-H""]",['Sunderland-H'],['Brighton-A'],['Newcastle-H'],['Aston Villa-A'],['Liverpool-H'],['Brentford-A'],['Chelsea-H'],['Brighton-H'],"[""Nott'm Forest-A""]",['Arsenal-H'],['Sunderland-A'],['Everton-H'],['Man City-A'],['Hull City-H'],['Ipswich Town-A'],['Crystal Palace-H'],['Coventry City-A'],['Bournemouth-A'],['Leeds-H'],['Tottenham-A'],['Fulham-H']
Newcastle,['Liverpool-H'],['Tottenham-A'],['Bournemouth-H'],['Leeds-A'],['Hull City-H'],['Coventry City-A'],['Aston Villa-H'],['Crystal Palace-A'],['Everton-H'],['Fulham-A'],['Arsenal-H'],['Brighton-A'],['Man United-H'],['Sunderland-H'],['Ipswich Town-A'],['Brentford-A'],['Man City-H'],"[""Nott'm Forest-H""]",['Chelsea-A'],['Man United-A'],['Fulham-H'],['Arsenal-A'],['Brighton-H'],['Everton-A'],['Chelsea-H'],['Man City-A'],['Brentford-H'],"[""Nott'm Forest-A""]",['Bournemouth-A'],['Leeds-H'],['Liverpool-A'],['Tottenham-H'],['Ipswich Town-H'],['Sunderland-A'],['Coventry City-H'],['Aston Villa-A'],['Crystal Palace-H'],['Hull City-A']
Nott'm Forest,['Leeds-H'],['Liverpool-A'],['Tottenham-H'],['Aston Villa-A'],['Coventry City-H'],['Crystal Palace-A'],['Arsenal-H'],['Ipswich Town-A'],['Brentford-A'],['Man City-H'],['Bournemouth-A'],['Chelsea-H'],['Hull City-A'],['Brighton-H'],['Sunderland-A'],['Everton-H'],['Man United-A'],['Newcastle-A'],['Fulham-H'],['Hull City-H'],['Man City-A'],['Bournemouth-H'],['Chelsea-A'],['Brentford-H'],['Fulham-A'],['Man United-H'],['Everton-A'],['Newcastle-H'],['Tottenham-A'],['Aston Villa-H'],['Leeds-A'],['Liverpool-H'],['Sunderland-H'],['Brighton-A'],['Crystal Palace-H'],['Arsenal-A'],['Ipswich Town-H'],['Coventry City-A']
Sunderland,['Ipswich Town-A'],['Fulham-H'],['Brentford-A'],['Arsenal-H'],['Man City-A'],['Brighton-H'],['Bournemouth-A'],['Leeds-H'],['Coventry City-A'],['Chelsea-H'],['Aston Villa-A'],['Tottenham-H'],['Liverpool-A'],['Newcastle-A'],"[""Nott'm Forest-H""]",['Crystal Palace-H'],['Everton-A'],['Man United-A'],['Hull City-H'],['Liverpool-H'],['Chelsea-A'],['Coventry City-H'],['Tottenham-A'],['Aston Villa-H'],['Hull City-A'],['Everton-H'],['Crystal Palace-A'],['Man United-H'],['Brentford-H'],['Arsenal-A'],['Ipswich Town-H'],['Fulham-A'],"[""Nott'm Forest-A""]",['Newcastle-H'],['Brighton-A'],['Bournemouth-H'],['Leeds-A'],['Man City-H']
Tottenham,['Brentford-A'],['Newcastle-H'],"[""Nott'm Forest-A""]",['Everton-H'],['Aston Villa-H'],['Man United-A'],['Coventry City-H'],['Chelsea-A'],['Crystal Palace-H'],['Leeds-A'],['Ipswich Town-H'],['Sunderland-A'],['Fulham-H'],['Arsenal-H'],['Hull City-A'],['Liverpool-A'],['Bournemouth-H'],['Brighton-H'],['Man City-A'],['Fulham-A'],['Leeds-H'],['Crystal Palace-A'],['Sunderland-H'],['Ipswich Town-A'],['Man City-H'],['Brighton-A'],['Liverpool-H'],['Bournemouth-A'],"[""Nott'm Forest-H""]",['Everton-A'],['Brentford-H'],['Newcastle-A'],['Hull City-H'],['Arsenal-A'],['Chelsea-H'],['Coventry City-A'],['Man United-H'],['Aston Villa-A']
